Fid,CDate,Precipitation,Humidity,WindSpeed,WeatherCondition,AvgTemp,AvgTempUncertainty,City,Country,Latitude,Longitude,Season,Crop,Label
8.8.8.8-10.42.0.151-53-17002-17,04-04-22,0,33.14579365,7.579933923,Sunny,16.194,9.474,Århus,Denmark,57.05N,10.33E,Kharif     ,Urad,0
205.204.101.196-10.42.0.151-443-50406-6,05-04-22,4.121921833,62.18323225,3.08297199,Sunny,14.51,6.789,Århus,Denmark,57.05N,10.33E,Rabi       ,Gram,1
192.229.163.180-10.42.0.211-443-41122-6,06-04-22,0,63.52910184,11.1689863,Rain,7.273,5.739,Århus,Denmark,57.05N,10.33E,Rabi       ,Groundnut,0
202.77.129.150-10.42.0.211-80-49808-6,07-04-22,5.141497376,67.13612502,7.408033644,Rain,3.447,3.927,Århus,Denmark,57.05N,10.33E,Rabi       ,Horse-gram,0
10.42.0.211-14.29.93.254-34438-80-6,08-04-22,0,38.46035655,5.104720428,Sunny,1.733,2.991,Århus,Denmark,57.05N,10.33E,Rabi       ,Maize,0
10.42.0.211-77.234.44.79-44283-443-6,09-04-22,0,58.93385505,1.078407333,Sunny,0.67,8.344,Århus,Denmark,57.05N,10.33E,Rabi       ,Moong(Green Gram),1
209.10.120.26-10.42.0.211-80-34625-6,10-04-22,0,76.60868926,6.442106604,Cloudy,1.186,4.471,Århus,Denmark,57.05N,10.33E,Rabi       ,Other  Rabi pulses,0
172.217.10.74-10.42.0.151-443-41724-6,11-04-22,0,63.37628727,15.17640614,Cloudy,4.852,1.618,Århus,Denmark,57.05N,10.33E,Rabi       ,Ragi,1
10.42.0.211-10.42.0.1-16165-53-17,12-04-22,0,41.44675051,15.68917751,Snow,6.53,4.78,Århus,Denmark,57.05N,10.33E,Rabi       ,Rice,0
172.217.11.14-10.42.0.42-443-54904-6,13-04-22,0,31.11687746,12.40291529,Sunny,12.109,5.75,Århus,Denmark,57.05N,10.33E,Rabi       ,Sunflower,1
172.217.9.238-10.42.0.151-443-40514-6,14-04-22,5.465356163,78.3388467,11.95588185,Cloudy,17.162,2.962,Århus,Denmark,57.05N,10.33E,Rabi       ,Urad,0
182.22.25.124-10.42.0.211-443-54095-6,15-04-22,0.66145255,96.12518555,10.56229897,Rain,16.501,6.657,Århus,Denmark,57.05N,10.33E,Rabi       ,Wheat,1
10.42.0.211-77.234.44.201-59610-80-6,16-04-22,0.461662516,76.24773088,5.635542054,Partly Cloudy,17.794,4.187,Århus,Denmark,57.05N,10.33E,Summer     ,Jowar,1
10.42.0.211-72.21.206.141-41833-443-6,17-04-22,0,79.3368892,4.780216345,Cloudy,14.39,4.592,Århus,Denmark,57.05N,10.33E,Summer     ,Maize,0
202.77.129.150-10.42.0.42-443-54207-6,18-04-22,3.455422983,98.99642374,1.404529739,Snow,5.43,6.193,Århus,Denmark,57.05N,10.33E,Summer     ,Ragi,1
172.217.6.234-10.42.0.151-443-47924-6,19-04-22,0,38.9893321,8.33314125,Snow,4.229,2.406,Århus,Denmark,57.05N,10.33E,Summer     ,Rice,0
157.240.0.17-10.42.0.211-443-47114-6,20-04-22,0,73.77771718,0.490683891,Sunny,-1.163,2.66,Århus,Denmark,57.05N,10.33E,Summer     ,Sunflower,0
172.217.10.138-10.42.0.211-443-47364-6,21-04-22,9.631629289,94.42335907,16.46307238,Rain,1.639,3.181,Århus,Denmark,57.05N,10.33E,Whole Year ,Arecanut,1
198.51.152.183-10.42.0.211-443-51338-6,22-04-22,0,87.34619221,7.715893244,Partly Cloudy,-0.308,9.353,Århus,Denmark,57.05N,10.33E,Whole Year ,Banana,1
172.217.10.138-10.42.0.42-443-34567-6,23-04-22,0,33.38653471,6.662869064,Snow,-0.896,5.649,Århus,Denmark,57.05N,10.33E,Whole Year ,Cardamom,0
174.35.73.111-10.42.0.211-80-36526-6,24-04-22,0,74.61226558,1.422777142,Cloudy,8.1,4.7,Århus,Denmark,57.05N,10.33E,Whole Year ,Coconut ,1
10.42.0.211-104.244.43.3-40701-443-6,25-04-22,0,50.972972,3.246986399,Cloudy,11.219,7.922,Århus,Denmark,57.05N,10.33E,Whole Year ,Coriander,0
10.42.0.211-121.14.255.100-41804-80-6,26-04-22,1.937434058,93.41386483,19.82529878,Rain,15.966,8.177,Århus,Denmark,57.05N,10.33E,Whole Year ,Dry chillies,1
10.42.0.211-23.23.129.231-51676-443-6,27-04-22,1.828712133,50.96988052,8.560282983,Snow,16.334,3.654,Århus,Denmark,57.05N,10.33E,Whole Year ,Garlic,0
10.42.0.151-52.84.29.137-39493-443-6,28-04-22,3.37303627,71.0307204,8.340596785,Snow,13.891,2.867,Århus,Denmark,57.05N,10.33E,Whole Year ,Onion,1
10.42.0.151-10.42.0.1-34380-53-17,29-04-22,0,41.56142698,18.15587494,Partly Cloudy,12.166,10.03,Århus,Denmark,57.05N,10.33E,Whole Year ,Potato,0
172.217.9.234-10.42.0.211-443-43810-6,30-04-22,2.441492286,89.3745146,18.70439492,Cloudy,4.046,4.986,Århus,Denmark,57.05N,10.33E,Whole Year ,Sugarcane,0
10.42.0.42-65.55.118.92-48954-80-6,01-05-22,0,34.6367708,0.701406116,Snow,3.598,2.567,Århus,Denmark,57.05N,10.33E,Whole Year ,Tobacco,0
10.42.0.211-10.42.0.1-65195-53-17,02-05-22,0,50.63188162,5.295404894,Cloudy,0.467,6.983,Århus,Denmark,57.05N,10.33E,Whole Year ,Turmeric,0
10.42.0.211-101.226.103.112-58929-80-6,03-05-22,2.174471343,88.29749471,17.85414831,Sunny,-3.244,6.507,Århus,Denmark,57.05N,10.33E,Kharif     ,Arhar/Tur,0
174.35.73.136-10.42.0.211-80-47890-6,04-05-22,0,62.56391058,19.85554987,Rain,0.663,5.289,Århus,Denmark,57.05N,10.33E,Kharif     ,Bajra,1
183.79.248.252-10.42.0.211-443-55972-6,05-05-22,0,91.77187798,6.666113868,Partly Cloudy,0.501,8.433,Århus,Denmark,57.05N,10.33E,Kharif     ,Castor seed,1
10.42.0.211-121.12.98.63-48391-80-6,06-05-22,0,88.8695488,19.66938953,Sunny,4.349,2.153,Århus,Denmark,57.05N,10.33E,Kharif     ,Cotton(lint),0
172.217.7.2-10.42.0.211-443-48601-6,07-05-22,0.80349672,46.64818986,1.719432024,Rain,10.373,3.726,Århus,Denmark,57.05N,10.33E,Kharif     ,Groundnut,0
10.42.0.211-103.7.30.118-56683-80-6,08-05-22,6.130925343,97.23133367,9.260580389,Cloudy,14.92,7.266,Århus,Denmark,57.05N,10.33E,Kharif     ,Horse-gram,0
172.217.10.227-10.42.0.151-443-57214-6,09-05-22,0.397633895,61.51301999,8.307720399,Sunny,17.464,1.938,Århus,Denmark,57.05N,10.33E,Kharif     ,Jowar,1
10.42.0.151-104.244.43.195-40350-443-6,10-05-22,0,35.48908412,18.66940161,Rain,16.296,3.936,Århus,Denmark,57.05N,10.33E,Kharif     ,Maize,1
172.217.10.106-10.42.0.211-443-57788-6,11-05-22,4.671125376,70.8696622,11.75412286,Sunny,11.749,3.365,Århus,Denmark,57.05N,10.33E,Kharif     ,Moong(Green Gram),1
10.42.0.211-72.21.206.140-43269-443-6,12-05-22,0,82.21810696,19.24664316,Rain,7.252,7.466,Århus,Denmark,57.05N,10.33E,Kharif     ,Niger seed,1
10.42.0.211-10.42.0.1-62503-53-17,13-05-22,0,53.54850805,0.12445683,Sunny,3.312,4.345,Århus,Denmark,57.05N,10.33E,Kharif     ,Other Kharif pulses,1
172.217.12.173-10.42.0.151-443-59252-17,14-05-22,0,92.89719089,4.316916563,Cloudy,1.644,2.487,Århus,Denmark,57.05N,10.33E,Kharif     ,Ragi,0
203.205.147.229-10.42.0.211-80-46930-6,15-05-22,0,39.37315882,8.56201971,Rain,0.665,6.601,Århus,Denmark,57.05N,10.33E,Kharif     ,Rice,1
199.59.148.73-10.42.0.211-443-35919-6,16-05-22,0,41.67792606,8.560991256,Cloudy,2.878,3.738,Århus,Denmark,57.05N,10.33E,Kharif     ,Sesamum,0
10.42.0.42-23.206.125.17-44427-80-6,17-05-22,0,94.55668068,12.53182205,Cloudy,2.159,3.98,Århus,Denmark,57.05N,10.33E,Kharif     ,Small millets,0
10.42.0.211-10.42.0.1-58205-53-17,18-05-22,8.801644081,47.92140368,18.97495278,Cloudy,5.715,5.413,Århus,Denmark,57.05N,10.33E,Kharif     ,Sunflower,0
10.42.0.211-54.230.49.186-49228-443-6,19-05-22,2.576357705,38.95173527,12.38795755,Cloudy,11.801,8.793,Århus,Denmark,57.05N,10.33E,Kharif     ,Urad,1
10.42.0.151-98.139.199.205-59368-443-6,20-05-22,0,57.31036706,3.370650148,Partly Cloudy,12.989,3.806,Århus,Denmark,57.05N,10.33E,Rabi       ,Gram,0
140.205.230.49-10.42.0.211-443-43158-6,21-05-22,0,35.86694527,14.6637812,Partly Cloudy,19.162,6.488,Århus,Denmark,57.05N,10.33E,Rabi       ,Horse-gram,1
10.42.0.42-23.23.127.115-57584-443-6,22-05-22,0,65.78740545,3.69865727,Partly Cloudy,15.503,1.674,Århus,Denmark,57.05N,10.33E,Rabi       ,Maize,0
10.42.0.42-104.244.42.65-60290-80-6,23-05-22,0,88.37793984,16.22244976,Snow,11.31,5.642,Århus,Denmark,57.05N,10.33E,Rabi       ,Moong(Green Gram),1
10.42.0.211-58.63.236.212-53400-443-6,24-05-22,5.708309323,95.88875106,0.611333599,Cloudy,7.11,3.21,Århus,Denmark,57.05N,10.33E,Rabi       ,Other  Rabi pulses,0
10.42.0.211-77.234.44.200-43648-80-6,25-05-22,3.23306213,31.71269443,8.9642849,Rain,2.274,3.712,Århus,Denmark,57.05N,10.33E,Rabi       ,Ragi,1
172.217.6.195-10.42.0.42-443-39858-6,26-05-22,5.182857124,75.63772012,3.956929516,Sunny,-0.821,4.723,Århus,Denmark,57.05N,10.33E,Rabi       ,Rice,1
172.217.10.110-10.42.0.211-443-46887-6,27-05-22,0,93.28731252,7.120351944,Rain,-0.408,11.378,Århus,Denmark,57.05N,10.33E,Rabi       ,Sunflower,0
172.217.6.194-10.42.0.151-443-47347-6,28-05-22,0.755682107,79.5125684,6.202186176,Sunny,-2.603,4.754,Århus,Denmark,57.05N,10.33E,Rabi       ,Urad,1
8.0.6.4-8.6.0.1-0-0-0,29-05-22,0,94.42318983,6.182613953,Snow,3.12,3.209,Århus,Denmark,57.05N,10.33E,Summer     ,Jowar,0
